2026-03-03 15:15:08,787 | INFO | ai_validator_logger | Orchestrator started
2026-03-03 15:15:08,798 | INFO | ai_validator_logger | Market Research Agent started
2026-03-03 15:15:08,805 | INFO | ai_validator_logger | [Search Tool] Searching for: AI-powered resume optimizer that tailors resumes to job descriptions to improve ATS score and interview chances market size trends TAM SAM SOM
2026-03-03 15:15:10,995 | INFO | ai_validator_logger | [Search Tool] Search completed successfully
2026-03-03 15:15:10,996 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:15:11,422 | ERROR | ai_validator_logger | LLM request failed: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-03 15:15:11,423 | INFO | ai_validator_logger | Market Research Agent completed successfully
2026-03-03 15:15:11,423 | INFO | ai_validator_logger | Competitor Agent started
2026-03-03 15:15:11,424 | INFO | ai_validator_logger | [Search Tool] Searching for: AI-powered resume optimizer that tailors resumes to job descriptions to improve ATS score and interview chances competitors pricing features
2026-03-03 15:15:13,079 | INFO | ai_validator_logger | [Search Tool] Search completed successfully
2026-03-03 15:15:13,079 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:15:13,170 | ERROR | ai_validator_logger | LLM request failed: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-03 15:15:13,170 | INFO | ai_validator_logger | Competitor Agent completed successfully
2026-03-03 15:15:13,170 | INFO | ai_validator_logger | Monetization Agent started
2026-03-03 15:15:13,170 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:15:13,247 | ERROR | ai_validator_logger | LLM request failed: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-03 15:15:13,247 | INFO | ai_validator_logger | Monetization Agent completed successfully
2026-03-03 15:15:13,248 | INFO | ai_validator_logger | Risk Estimator Agent started
2026-03-03 15:15:13,248 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:15:13,339 | ERROR | ai_validator_logger | LLM request failed: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-03 15:15:13,339 | INFO | ai_validator_logger | Risk Estimator Agent completed successfully
2026-03-03 15:15:13,340 | INFO | ai_validator_logger | All agents executed successfully
2026-03-03 15:17:48,260 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:17:48,658 | ERROR | ai_validator_logger | LLM request failed: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-03 15:18:15,202 | INFO | ai_validator_logger | Sending request to LLM
2026-03-03 15:18:15,806 | INFO | ai_validator_logger | LLM response received successfully
2026-03-03 15:18:30,507 | INFO | ai_validator_logger | Orchestrator started
2026-03-03 15:18:30,510 | INFO | ai_validator_logger | Market Research Agent started
2026-03-03 15:18:30,510 | INFO | ai_validator_logger | [Search Tool] Searching for: AI-powered resume optimizer that tailors resumes to job descriptions to improve ATS score and interview chances market size trends TAM SAM SOM
2026-03-03 15:18:32,076 | INFO | ai_validator_logger | [Search Tool] Search completed successfully
2026-03-03 15:18:32,077 | INFO | ai_validator_logger | Sending request to LLM
